"Time","process"
2024-03-04 11:16:00,0.00127
2024-03-04 11:16:01,0.00127
2024-03-04 11:16:02,0.000631
2024-03-04 11:16:03,0.000631
2024-03-04 11:16:04,0.000633
2024-03-04 11:16:05,0.000633
2024-03-04 11:16:06,0.000635
2024-03-04 11:16:07,0.000635
2024-03-04 11:16:08,0.00190
2024-03-04 11:16:09,0.00190
2024-03-04 11:16:10,0
2024-03-04 11:16:11,0
2024-03-04 11:16:12,0.00375
2024-03-04 11:16:13,0.00375
2024-03-04 11:16:14,0.000629
2024-03-04 11:16:15,0.000629
2024-03-04 11:16:16,0.000631
2024-03-04 11:16:17,0.000631
2024-03-04 11:16:18,0.00127
2024-03-04 11:16:19,0.00127
2024-03-04 11:16:20,0.000637
2024-03-04 11:16:21,0.000637
2024-03-04 11:16:22,0.0943
2024-03-04 11:16:23,0.0943
2024-03-04 11:16:24,0.0856
2024-03-04 11:16:25,0.0856
2024-03-04 11:16:26,0.117
2024-03-04 11:16:27,0.117
2024-03-04 11:16:28,0.235
2024-03-04 11:16:29,0.235
2024-03-04 11:16:30,0.147
2024-03-04 11:16:31,0.147
2024-03-04 11:16:32,0.177
2024-03-04 11:16:33,0.177
2024-03-04 11:16:34,0.0974
2024-03-04 11:16:35,0.0974
2024-03-04 11:16:36,0.113
2024-03-04 11:16:37,0.113
2024-03-04 11:16:38,0.0854
2024-03-04 11:16:39,0.0854
2024-03-04 11:16:40,0.121
2024-03-04 11:16:41,0.121
2024-03-04 11:16:42,0.127
2024-03-04 11:16:43,0.127
2024-03-04 11:16:44,0.135
2024-03-04 11:16:45,0.135
2024-03-04 11:16:46,0.134
2024-03-04 11:16:47,0.134
2024-03-04 11:16:48,0.126
2024-03-04 11:16:49,0.126
2024-03-04 11:16:50,0.0866
2024-03-04 11:16:51,0.0866
2024-03-04 11:16:52,0.132
2024-03-04 11:16:53,0.132
2024-03-04 11:16:54,0.111
2024-03-04 11:16:55,0.111
2024-03-04 11:16:56,0.129
2024-03-04 11:16:57,0.129
2024-03-04 11:16:58,0.106
2024-03-04 11:16:59,0.106
2024-03-04 11:17:00,0.0836
2024-03-04 11:17:01,0.0836
2024-03-04 11:17:02,0.0431
2024-03-04 11:17:03,0.0431
2024-03-04 11:17:04,0.119
2024-03-04 11:17:05,0.119
2024-03-04 11:17:06,0.0382
2024-03-04 11:17:07,0.0382
2024-03-04 11:17:08,0.116
2024-03-04 11:17:09,0.116
2024-03-04 11:17:10,0.0634
2024-03-04 11:17:11,0.0634
2024-03-04 11:17:12,0.0602
2024-03-04 11:17:13,0.0602
2024-03-04 11:17:16,0.0978
2024-03-04 11:17:17,0.0978
2024-03-04 11:17:18,0.101
2024-03-04 11:17:19,0.101
2024-03-04 11:17:20,0.0833
2024-03-04 11:17:21,0.0833
2024-03-04 11:17:22,0.0856
2024-03-04 11:17:23,0.0856
2024-03-04 11:17:24,0.0796
2024-03-04 11:17:25,0.0796
2024-03-04 11:17:26,0.0540
2024-03-04 11:17:27,0.0540
2024-03-04 11:17:28,0.0330
2024-03-04 11:17:29,0.0330
2024-03-04 11:17:30,0.105
2024-03-04 11:17:31,0.105
2024-03-04 11:17:32,0.0247
2024-03-04 11:17:33,0.0247
2024-03-04 11:17:34,0.0791
2024-03-04 11:17:35,0.0791
2024-03-04 11:17:36,0.0636
2024-03-04 11:17:37,0.0636
2024-03-04 11:17:38,0.0886
2024-03-04 11:17:39,0.0886
2024-03-04 11:17:40,0.112
2024-03-04 11:17:41,0.112
