"Time","system-1m"
2024-03-04 11:16:00,1.72
2024-03-04 11:16:02,1.72
2024-03-04 11:16:04,1.72
2024-03-04 11:16:06,1.66
2024-03-04 11:16:08,1.66
2024-03-04 11:16:10,1.93
2024-03-04 11:16:12,1.93
2024-03-04 11:16:14,1.93
2024-03-04 11:16:16,1.86
2024-03-04 11:16:18,1.86
2024-03-04 11:16:20,1.79
2024-03-04 11:16:22,1.79
2024-03-04 11:16:24,1.79
2024-03-04 11:16:26,2.53
2024-03-04 11:16:28,2.53
2024-03-04 11:16:30,8.01
2024-03-04 11:16:32,8.01
2024-03-04 11:16:34,8.01
2024-03-04 11:16:36,13.3
2024-03-04 11:16:38,13.3
2024-03-04 11:16:40,16.1
2024-03-04 11:16:42,16.1
2024-03-04 11:16:44,16.1
2024-03-04 11:16:46,20.6
2024-03-04 11:16:48,20.6
2024-03-04 11:16:50,26.4
2024-03-04 11:16:52,26.4
2024-03-04 11:16:54,26.4
2024-03-04 11:16:56,29.9
2024-03-04 11:16:58,29.9
2024-03-04 11:17:00,33.5
2024-03-04 11:17:02,33.5
2024-03-04 11:17:04,33.5
2024-03-04 11:17:06,37.9
2024-03-04 11:17:08,37.9
2024-03-04 11:17:10,42.6
2024-03-04 11:17:12,42.6
2024-03-04 11:17:16,47.0
2024-03-04 11:17:18,47.0
2024-03-04 11:17:20,49.2
2024-03-04 11:17:22,49.2
2024-03-04 11:17:24,49.2
2024-03-04 11:17:26,53.3
2024-03-04 11:17:28,53.3
2024-03-04 11:17:30,56.1
2024-03-04 11:17:32,56.1
2024-03-04 11:17:34,56.1
2024-03-04 11:17:36,55.1
2024-03-04 11:17:38,55.1
2024-03-04 11:17:40,57.9
2024-03-04 11:17:42,57.9
2024-03-04 11:17:44,57.9
2024-03-04 11:17:46,56.9
2024-03-04 11:17:48,56.9
2024-03-04 11:17:50,58.9
2024-03-04 11:17:52,58.9
2024-03-04 11:17:54,58.9
2024-03-04 11:17:56,59.6
2024-03-04 11:17:58,59.6
2024-03-04 11:18:00,55.9
2024-03-04 11:18:02,55.9
2024-03-04 11:18:04,55.9
2024-03-04 11:18:06,57.4
2024-03-04 11:18:08,57.4
2024-03-04 11:18:10,58.7
2024-03-04 11:18:12,58.7
2024-03-04 11:18:14,58.7
2024-03-04 11:18:16,59.1
2024-03-04 11:18:18,59.1
2024-03-04 11:18:20,56.0
2024-03-04 11:18:22,56.0
2024-03-04 11:18:24,56.0
2024-03-04 11:18:26,60.4
2024-03-04 11:18:28,60.4
2024-03-04 11:18:30,61.3
2024-03-04 11:18:32,61.3
2024-03-04 11:18:34,61.3
2024-03-04 11:18:36,61.4
2024-03-04 11:18:38,61.4
2024-03-04 11:18:40,63.5
2024-03-04 11:18:42,63.5
2024-03-04 11:18:44,63.5
2024-03-04 11:18:46,59.9
2024-03-04 11:18:48,59.9
2024-03-04 11:18:50,61.1
2024-03-04 11:18:52,61.1
2024-03-04 11:18:54,61.1
2024-03-04 11:18:56,58.2
2024-03-04 11:18:58,58.2
2024-03-04 11:19:00,59.1
2024-03-04 11:19:02,59.1
2024-03-04 11:19:04,59.1
2024-03-04 11:19:06,63.3
2024-03-04 11:19:08,63.3
2024-03-04 11:19:10,60.7
2024-03-04 11:19:12,60.7
2024-03-04 11:19:14,60.7
2024-03-04 11:19:16,62.8
2024-03-04 11:19:18,62.8
2024-03-04 11:19:20,68.6
2024-03-04 11:19:22,68.6
2024-03-04 11:19:24,68.6
2024-03-04 11:19:26,64.6
2024-03-04 11:19:28,64.6
2024-03-04 11:19:30,68.2
2024-03-04 11:19:32,68.2
2024-03-04 11:19:34,68.2
2024-03-04 11:19:36,64.7
2024-03-04 11:19:38,64.7
2024-03-04 11:19:40,60.2
2024-03-04 11:19:42,60.2
2024-03-04 11:19:44,60.2
2024-03-04 11:19:46,55.8
2024-03-04 11:19:48,55.8
2024-03-04 11:19:50,51.8
2024-03-04 11:19:52,51.8
2024-03-04 11:19:54,51.8
2024-03-04 11:19:56,48.1
2024-03-04 11:19:58,48.1
2024-03-04 11:20:00,44.5

